source,target
TP53TG3E,chr16-p11.2
CD82,chr11-p11.2
HSD17B12,chr11-p11.2
TP53TG3B,chr16-p11.2
TP53TG3C,chr16-p11.2
QPRT,chr16-p11.2
CHCHD2,chr7-p11.2
RAB23,chr6-p11.2
TRABD2A,chr2-p11.2
MAP2K3,chr17-p11.2
DDB2,chr11-p11.2
KCMF1,chr2-p11.2
TMSB10,chr2-p11.2
CD8B,chr2-p11.2
RNF103,chr2-p11.2
PLGLB2,chr2-p11.2
FABP1,chr2-p11.2
ATOH8,chr2-p11.2
TCF7L1,chr2-p11.2
C11orf49,chr11-p11.2
RMND5A,chr2-p11.2
DNAH6,chr2-p11.2
SLC35C1,chr11-p11.2
CRY2,chr11-p11.2
MAPK8IP1,chr11-p11.2
C11orf94,chr11-p11.2
PEX16,chr11-p11.2
KRCC1,chr2-p11.2
LARGE2,chr11-p11.2
CREB3L1,chr11-p11.2
DGKZ,chr11-p11.2
SUCLG1,chr2-p11.2
SMYD1,chr2-p11.2
CHMP3,chr2-p11.2
SUMF2,chr7-p11.2
TMEM265,chr16-p11.2
PHKG2,chr16-p11.2
CCDC189,chr16-p11.2
ZNF629,chr16-p11.2
ORAI3,chr16-p11.2
HSD3B7,chr16-p11.2
STX1B,chr16-p11.2
STX4,chr16-p11.2
ZNF668,chr16-p11.2
ZNF646,chr16-p11.2
PRSS53,chr16-p11.2
VKORC1,chr16-p11.2
BCKDK,chr16-p11.2
FOXD4L6,chr9-p11.2
KAT8,chr16-p11.2
PRSS8,chr16-p11.2
PRSS36,chr16-p11.2
PYCARD,chr16-p11.2
TRIM72,chr16-p11.2
TP53I11,chr11-p11.2
IL27,chr16-p11.2
SGF29,chr16-p11.2
TUFM,chr16-p11.2
RABEP2,chr16-p11.2
CD19,chr16-p11.2
SPNS1,chr16-p11.2
NPIPB11,chr16-p11.2
SLX1B,chr16-p11.2
SPN,chr16-p11.2
TAOK2,chr16-p11.2
HIRIP3,chr16-p11.2
INO80E,chr16-p11.2
DOC2A,chr16-p11.2
PPP4C,chr16-p11.2
YPEL3,chr16-p11.2
GDPD3,chr16-p11.2
MAPK3,chr16-p11.2
BOLA2B,chr16-p11.2
CD2BP2,chr16-p11.2
TBC1D10B,chr16-p11.2
CORO1A,chr16-p11.2
SLX1A,chr16-p11.2
SULT1A4,chr16-p11.2
RNF103-CHMP3,chr2-p11.2
EIF3C,chr16-p11.2
ATP2A1,chr16-p11.2
CBWD6,chr9-p11.2
FUS,chr16-p11.2
ALDH3A2,chr17-p11.2
ALDH3A1,chr17-p11.2
ULK2,chr17-p11.2
PYDC1,chr16-p11.2
SULT1A3,chr16-p11.2
EVPLL,chr17-p11.2
LGALS9C,chr17-p11.2
TBC1D28,chr17-p11.2
FBXW10,chr17-p11.2
TVP23B,chr17-p11.2
SPI1,chr11-p11.2
SLC39A13,chr11-p11.2
RAPSN,chr11-p11.2
NDUFS3,chr11-p11.2
PTPMT1,chr11-p11.2
KBTBD4,chr11-p11.2
FAM180B,chr11-p11.2
C1QTNF4,chr11-p11.2
MTCH2,chr11-p11.2
FNBP4,chr11-p11.2
VSTM2A,chr7-p11.2
TNFRSF13B,chr17-p11.2
PLD6,chr17-p11.2
FLCN,chr17-p11.2
COPS3,chr17-p11.2
ITGAM,chr16-p11.2
NT5M,chr17-p11.2
MED9,chr17-p11.2
RASD1,chr17-p11.2
ITGAX,chr16-p11.2
ITGAD,chr16-p11.2
COX6A2,chr16-p11.2
ZNF843,chr16-p11.2
ARMC5,chr16-p11.2
TGFB1I1,chr16-p11.2
TMEM11,chr17-p11.2
SLC5A2,chr16-p11.2
RUSF1,chr16-p11.2
AHSP,chr16-p11.2
CDIPT,chr16-p11.2
ASPHD1,chr16-p11.2
KCTD13,chr16-p11.2
ALDOA,chr16-p11.2
MPRIP,chr17-p11.2
LANCL2,chr7-p11.2
CTF1,chr16-p11.2
EGFR,chr7-p11.2
MAPK7,chr17-p11.2
MFAP4,chr17-p11.2
RNF112,chr17-p11.2
ZNF479,chr7-p11.2
PSMC3,chr11-p11.2
SRGAP2C,chr1-p11.2
ZNF48,chr16-p11.2
ZNF771,chr16-p11.2
SEPHS2,chr16-p11.2
ZNF768,chr16-p11.2
ZNF764,chr16-p11.2
ZNF785,chr16-p11.2
ZNF689,chr16-p11.2
PRR14,chr16-p11.2
FBRS,chr16-p11.2
ITGAL,chr16-p11.2
DCTPP1,chr16-p11.2
PTCD3,chr2-p11.2
MRPL35,chr2-p11.2
KDM3A,chr2-p11.2
SLC5A10,chr17-p11.2
TOM1L2,chr17-p11.2
FCGR1B,chr1-p11.2
GRAP,chr17-p11.2
NUPR1,chr16-p11.2
SULT1A2,chr16-p11.2
PHKG1,chr7-p11.2
FBXL19,chr16-p11.2
BCL7C,chr16-p11.2
RNF40,chr16-p11.2
ALKBH3,chr11-p11.2
C11orf96,chr11-p11.2
ACCSL,chr11-p11.2
ACCS,chr11-p11.2
ALX4,chr11-p11.2
EXT2,chr11-p11.2
C16orf92,chr16-p11.2
SYT13,chr11-p11.2
OR4X2,chr11-p11.2
OR4A47,chr11-p11.2
ZNF688,chr16-p11.2
OR4C5,chr11-p11.2
CHRM4,chr11-p11.2
AMBRA1,chr11-p11.2
ATG13,chr11-p11.2
SLC47A2,chr17-p11.2
FOXO3B,chr17-p11.2
CD8A,chr2-p11.2
PHF21A,chr11-p11.2
CHMP2B,chr3-p11.2
OR4C3,chr11-p11.2
AGBL2,chr11-p11.2
SETD1A,chr16-p11.2
ATXN2L,chr16-p11.2
PTPRJ,chr11-p11.2
MDK,chr11-p11.2
ZNF267,chr16-p11.2
TP53TG3D,chr16-p11.2
NPIPB9,chr16-p11.2
SH2B1,chr16-p11.2
SEZ6L2,chr16-p11.2
NPIPB8,chr16-p11.2
MYBPC3,chr11-p11.2
MYLPF,chr16-p11.2
C16orf54,chr16-p11.2
ZG16,chr16-p11.2
PRRT2,chr16-p11.2
PAGR1,chr16-p11.2
MVP,chr16-p11.2
KIF22,chr16-p11.2
SRCAP,chr16-p11.2
TBX6,chr16-p11.2
MAZ,chr16-p11.2
LAT,chr16-p11.2
MTRNR2L1,chr17-p11.2
NPIPB12,chr16-p11.2
PRDM11,chr11-p11.2
NPIPB13,chr16-p11.2
SEPTIN1,chr16-p11.2
TLCD3B,chr16-p11.2
CELF1,chr11-p11.2
BOLA2-SMG1P6,chr16-p11.2
BOLA2,chr16-p11.2
RGPD1,chr2-p11.2
ZNF747,chr16-p11.2
ZNF720,chr16-p11.2
TMEM219,chr16-p11.2
SULT1A1,chr16-p11.2
NFATC2IP,chr16-p11.2
HTR1F,chr3-p11.2
LGALS9B,chr17-p11.2
SREBF1,chr17-p11.2
POU1F1,chr3-p11.2
PIGL,chr17-p11.2
CENPV,chr17-p11.2
UBB,chr17-p11.2
TRPV2,chr17-p11.2
RAI1,chr17-p11.2
LLGL1,chr17-p11.2
CCDC144A,chr17-p11.2
SHMT1,chr17-p11.2
MYO15A,chr17-p11.2
THNSL2,chr2-p11.2
PLGLB1,chr2-p11.2
NCOR1,chr17-p11.2
ST3GAL5,chr2-p11.2
B9D1,chr17-p11.2
POLR1A,chr2-p11.2
FOXI3,chr2-p11.2
TEX37,chr2-p11.2
RPIA,chr2-p11.2
DHRS7B,chr17-p11.2
SPECC1,chr17-p11.2
EPN2,chr17-p11.2
EIF2AK3,chr2-p11.2
IMMT,chr2-p11.2
RGPD2,chr2-p11.2
REEP1,chr2-p11.2
TGOLN2,chr2-p11.2
RETSAT,chr2-p11.2
ELMOD3,chr2-p11.2
CAPG,chr2-p11.2
MAT2A,chr2-p11.2
VAMP8,chr2-p11.2
VAMP5,chr2-p11.2
RNF181,chr2-p11.2
TMEM150A,chr2-p11.2
USP39,chr2-p11.2
C2orf68,chr2-p11.2
SFTPB,chr2-p11.2
GNLY,chr2-p11.2
SH2D6,chr2-p11.2
GGCX,chr2-p11.2
NOTCH2NLR,chr1-p11.2
NBPF26,chr1-p11.2
PPIAL4A,chr1-p11.2
FAM72B,chr1-p11.2
CHMP1B,chr18-p11.21
IMPA2,chr18-p11.21
PSMG2,chr18-p11.21
MC2R,chr18-p11.21
MPPE1,chr18-p11.21
CST8,chr20-p11.21
ABHD12,chr20-p11.21
CST5,chr20-p11.21
SYNDIG1,chr20-p11.21
CD93,chr20-p11.21
GINS1,chr20-p11.21
CST7,chr20-p11.21
APMAP,chr20-p11.21
GGTLC1,chr20-p11.21
CST2,chr20-p11.21
THBD,chr20-p11.21
CEP76,chr18-p11.21
CST9L,chr20-p11.21
NANP,chr20-p11.21
ZNF337,chr20-p11.21
PTPN2,chr18-p11.21
NINL,chr20-p11.21
SEH1L,chr18-p11.21
PFKFB1,chrX-p11.21
FOXR2,chrX-p11.21
MAGEH1,chrX-p11.21
MAGED2,chrX-p11.21
KLF8,chrX-p11.21
PYGB,chr20-p11.21
ENTPD6,chr20-p11.21
CST3,chr20-p11.21
NBDY,chrX-p11.21
NLRP2B,chrX-p11.21
ACSS1,chr20-p11.21
SPIN3,chrX-p11.21
ZNF519,chr18-p11.21
CST9,chr20-p11.21
ANKRD62,chr18-p11.21
CIDEA,chr18-p11.21
TUBB6,chr18-p11.21
FAM210A,chr18-p11.21
RNMT,chr18-p11.21
SSTR4,chr20-p11.21
VSX1,chr20-p11.21
GNAL,chr18-p11.21
FOXA2,chr20-p11.21
LDLRAD4,chr18-p11.21
UBQLN2,chrX-p11.21
RRAGB,chrX-p11.21
MTRNR2L7,chr10-p11.21
ZNF25,chr10-p11.21
APEX2,chrX-p11.21
ALAS2,chrX-p11.21
PRELID3A,chr18-p11.21
PAGE2B,chrX-p11.21
PAGE2,chrX-p11.21
MTRNR2L10,chrX-p11.21
SLC35G4,chr18-p11.21
CCNY,chr10-p11.21
PAGE5,chrX-p11.21
ETFBKMT,chr12-p11.21
AMN1,chr12-p11.21
H3-5,chr12-p11.21
SINHCAF,chr12-p11.21
CEP192,chr18-p11.21
DDX11,chr12-p11.21
IPO8,chr12-p11.21
CST1,chr20-p11.21
CST4,chr20-p11.21
AFG3L2,chr18-p11.21
RESF1,chr12-p11.21
RNF170,chr8-p11.21
SPIN2B,chrX-p11.21
ZXDB,chrX-p11.21
FAAH2,chrX-p11.21
ZXDA,chrX-p11.21
POTEC,chr18-p11.21
ANKRD30B,chr18-p11.21
PIEZO2,chr18-p11.21
HOOK3,chr8-p11.21
MC5R,chr18-p11.21
GJD4,chr10-p11.21
SPIRE1,chr18-p11.21
SLC20A2,chr8-p11.21
PARD3,chr10-p11.21
BICD1,chr12-p11.21
THAP1,chr8-p11.21
NXT1,chr20-p11.21
GZF1,chr20-p11.21
NAPB,chr20-p11.21
CSTL1,chr20-p11.21
CST11,chr20-p11.21
PAGE3,chrX-p11.21
ZMAT4,chr8-p11.21
USP51,chrX-p11.21
TCIM,chr8-p11.21
NKX6-3,chr8-p11.21
CHRNB3,chr8-p11.21
TRO,chrX-p11.21
SPIN2A,chrX-p11.21
FAM104B,chrX-p11.21
SFRP1,chr8-p11.21
ANK1,chr8-p11.21
CHRNA6,chr8-p11.21
ZNF248,chr10-p11.21
FZD8,chr10-p11.21
SMIM19,chr8-p11.21
FNTA,chr8-p11.21
HGSNAT,chr8-p11.21
POMK,chr8-p11.21
ANKRD30A,chr10-p11.21
KAT6A,chr8-p11.21
AP3M2,chr8-p11.21
PLAT,chr8-p11.21
POLB,chr8-p11.21
TSPAN11,chr12-p11.21
DKK4,chr8-p11.21
VDAC3,chr8-p11.21
IKBKB,chr8-p11.21
CUL2,chr10-p11.21
IDO1,chr8-p11.21
IDO2,chr8-p11.21
CREM,chr10-p11.21
GINS4,chr8-p11.21
GPAT4,chr8-p11.21
GOLGA7,chr8-p11.21
YARS2,chr12-p11.21
DNM1L,chr12-p11.21
PKP2,chr12-p11.21
FGD4,chr12-p11.21
CAPRIN2,chr12-p11.21
DENND5B,chr12-p11.21
AK4P3,chr12-p11.21
MTCL1,chr18-p11.22
RAB31,chr18-p11.22
NKX2-2,chr20-p11.22
NDUFV2,chr18-p11.22
NKX2-4,chr20-p11.22
RALBP1,chr18-p11.22
XRN2,chr20-p11.22
ANKRD12,chr18-p11.22
TSR2,chrX-p11.22
ITIH6,chrX-p11.22
NUDT11,chrX-p11.22
AKAP4,chrX-p11.22
DGKK,chrX-p11.22
FGD1,chrX-p11.22
XAGE2,chrX-p11.22
NUDT10,chrX-p11.22
EZHIP,chrX-p11.22
CCNB3,chrX-p11.22
TWSG1,chr18-p11.22
CCDC7,chr10-p11.22
XAGE1A,chrX-p11.22
SSX7,chrX-p11.22
SPANXN5,chrX-p11.22
APCDD1,chr18-p11.22
NAPG,chr18-p11.22
ARHGAP12,chr10-p11.22
SSX2B,chrX-p11.22
MAGED1,chrX-p11.22
NRP1,chr10-p11.22
PPP4R1,chr18-p11.22
KIF5B,chr10-p11.22
KANTR,chrX-p11.22
RIBC1,chrX-p11.22
BMP15,chrX-p11.22
RAB12,chr18-p11.22
SMC1A,chrX-p11.22
TMTC1,chr12-p11.22
IQSEC2,chrX-p11.22
CENPVL2,chrX-p11.22
CENPVL1,chrX-p11.22
GSPT2,chrX-p11.22
CENPVL3,chrX-p11.22
TXNDC2,chr18-p11.22
VAPA,chr18-p11.22
FAM156A,chrX-p11.22
HSD17B10,chrX-p11.22
HUWE1,chrX-p11.22
XAGE5,chrX-p11.22
MAGED4,chrX-p11.22
GPR173,chrX-p11.22
TSPYL2,chrX-p11.22
KDM5C,chrX-p11.22
XAGE3,chrX-p11.22
PHF8,chrX-p11.22
FAM120C,chrX-p11.22
PAX1,chr20-p11.22
ADAM18,chr8-p11.22
TACC1,chr8-p11.22
WNK3,chrX-p11.22
FAM156B,chrX-p11.22
MAGED4B,chrX-p11.22
SSX2,chrX-p11.22
XAGE1B,chrX-p11.22
SHROOM4,chrX-p11.22
GNL3L,chrX-p11.22
ITGB1,chr10-p11.22
EPC1,chr10-p11.22
ZEB1,chr10-p11.22
PLEKHA2,chr8-p11.22
HTRA4,chr8-p11.22
TM2D2,chr8-p11.22
ADAM32,chr8-p11.22
REP15,chr12-p11.22
MRPS35,chr12-p11.22
KLHL42,chr12-p11.22
PTHLH,chr12-p11.22
ADAM9,chr8-p11.22
MANSC4,chr12-p11.22
ADAM2,chr8-p11.22
CCDC91,chr12-p11.22
FAR2,chr12-p11.22
ERGIC2,chr12-p11.22
OVCH1,chr12-p11.22
INSM1,chr20-p11.23
DZANK1,chr20-p11.23
POLR3F,chr20-p11.23
SEC23B,chr20-p11.23
WDR13,chrX-p11.23
RBBP9,chr20-p11.23
USP27X,chrX-p11.23
CLCN5,chrX-p11.23
RBM3,chrX-p11.23
CFAP61,chr20-p11.23
TBC1D25,chrX-p11.23
TFE3,chrX-p11.23
WAS,chrX-p11.23
SCP2D1,chr20-p11.23
SYN1,chrX-p11.23
ELK1,chrX-p11.23
UXT,chrX-p11.23
SMIM26,chr20-p11.23
DTD1,chr20-p11.23
PTPRM,chr18-p11.23
LYZL2,chr10-p11.23
JCAD,chr10-p11.23
SSX3,chrX-p11.23
SSX4,chrX-p11.23
FTSJ1,chrX-p11.23
EBP,chrX-p11.23
KIZ,chr20-p11.23
OVOL2,chr20-p11.23
MGME1,chr20-p11.23
PET117,chr20-p11.23
GAGE2E,chrX-p11.23
GAGE12B,chrX-p11.23
PAGE1,chrX-p11.23
PAGE4,chrX-p11.23
PLP2,chrX-p11.23
PRICKLE3,chrX-p11.23
ZNF438,chr10-p11.23
CACNA1F,chrX-p11.23
SNX5,chr20-p11.23
CCDC22,chrX-p11.23
PPP1R3F,chrX-p11.23
ZNF182,chrX-p11.23
ZNF630,chrX-p11.23
CFP,chrX-p11.23
SLC24A3,chr20-p11.23
STK38L,chr12-p11.23
SSX1,chrX-p11.23
ZNF81,chrX-p11.23
INTS13,chr12-p11.23
NAA20,chr20-p11.23
CRNKL1,chr20-p11.23
RIN2,chr20-p11.23
LRRC30,chr18-p11.23
STAR,chr8-p11.23
RAB11FIP1,chr8-p11.23
MED21,chr12-p11.23
EIF4EBP1,chr8-p11.23
SSX5,chrX-p11.23
PLPBP,chr8-p11.23
ERLIN2,chr8-p11.23
PORCN,chrX-p11.23
GOT1L1,chr8-p11.23
ZNF133,chr20-p11.23
CCDC120,chrX-p11.23
PRAF2,chrX-p11.23
WDR45,chrX-p11.23
GPKOW,chrX-p11.23
MAGIX,chrX-p11.23
ASH2L,chr8-p11.23
ZNF703,chr8-p11.23
ADGRA2,chr8-p11.23
SPACA5B,chrX-p11.23
BRF2,chr8-p11.23
DDHD2,chr8-p11.23
SSX4B,chrX-p11.23
FOXP3,chrX-p11.23
RALGAPA2,chr20-p11.23
TM7SF3,chr12-p11.23
GAGE12C,chrX-p11.23
GAGE12D,chrX-p11.23
GAGE12F,chrX-p11.23
GAGE12E,chrX-p11.23
GAGE12G,chrX-p11.23
GAGE12H,chrX-p11.23
GAGE2A,chrX-p11.23
GAGE1,chrX-p11.23
GAGE10,chrX-p11.23
GAGE12J,chrX-p11.23
GAGE13,chrX-p11.23
KAT14,chr20-p11.23
BAG4,chr8-p11.23
SLC38A5,chrX-p11.23
SYP,chrX-p11.23
SUV39H1,chrX-p11.23
GLOD5,chrX-p11.23
GATA1,chrX-p11.23
HDAC6,chrX-p11.23
ERAS,chrX-p11.23
PCSK1N,chrX-p11.23
PQBP1,chrX-p11.23
TIMM17B,chrX-p11.23
SLC35A2,chrX-p11.23
PIM2,chrX-p11.23
OTUD5,chrX-p11.23
KCND1,chrX-p11.23
GRIPAP1,chrX-p11.23
LSM1,chr8-p11.23
MAP3K8,chr10-p11.23
MTPAP,chr10-p11.23
SPACA5,chrX-p11.23
ITPR2,chr12-p11.23
ADRB3,chr8-p11.23
FGFR1OP2,chr12-p11.23
PLPP5,chr8-p11.23
NSD3,chr8-p11.23
LETM2,chr8-p11.23
SMCO2,chr12-p11.23
PPFIBP1,chr12-p11.23
KCNU1,chr8-p11.23
SVIL,chr10-p11.23
FGFR1,chr8-p11.23
C12orf71,chr12-p11.23
ARNTL2,chr12-p11.23
RP2,chrX-p11.3
EFHC2,chrX-p11.3
CHST7,chrX-p11.3
NDP,chrX-p11.3
MAOB,chrX-p11.3
JADE3,chrX-p11.3
SLC9A7,chrX-p11.3
USP11,chrX-p11.3
FUNDC1,chrX-p11.3
KRBOX4,chrX-p11.3
PPP1R2C,chrX-p11.3
TIMP1,chrX-p11.3
ZNF157,chrX-p11.3
DUSP21,chrX-p11.3
DIPK2B,chrX-p11.3
ARAF,chrX-p11.3
KDM6A,chrX-p11.3
ZNF41,chrX-p11.3
ZNF674,chrX-p11.3
MAOA,chrX-p11.3
CDK16,chrX-p11.3
RGN,chrX-p11.3
RBM10,chrX-p11.3
UBA1,chrX-p11.3
NDUFB11,chrX-p11.3
DLGAP1,chr18-p11.31
TMEM200C,chr18-p11.31
AKAIN1,chr18-p11.31
ZBTB14,chr18-p11.31
TGIF1,chr18-p11.31
L3MBTL4,chr18-p11.31
ARHGAP28,chr18-p11.31
LPIN2,chr18-p11.31
MYL12A,chr18-p11.31
MYL12B,chr18-p11.31
EPB41L3,chr18-p11.31
MYOM1,chr18-p11.31
LAMA1,chr18-p11.31
COLEC12,chr18-p11.32
YES1,chr18-p11.32
EMILIN2,chr18-p11.32
USP14,chr18-p11.32
ADCYAP1,chr18-p11.32
METTL4,chr18-p11.32
NDC80,chr18-p11.32
SMCHD1,chr18-p11.32
THOC1,chr18-p11.32
CETN1,chr18-p11.32
TYMS,chr18-p11.32
ENOSF1,chr18-p11.32
CLUL1,chr18-p11.32
TUBB8B,chr18-p11.32
SRPX,chrX-p11.4
OTC,chrX-p11.4
SYTL5,chrX-p11.4
H2AP,chrX-p11.4
MED14,chrX-p11.4
DYNLT3,chrX-p11.4
ATP6AP2,chrX-p11.4
CXorf38,chrX-p11.4
H2AL3,chrX-p11.4
RPGR,chrX-p11.4
GPR82,chrX-p11.4
TSPAN7,chrX-p11.4
DDX3X,chrX-p11.4
CASK,chrX-p11.4
BCOR,chrX-p11.4
USP9X,chrX-p11.4
MPC1L,chrX-p11.4
NYX,chrX-p11.4
GPR34,chrX-p11.4
MID1IP1,chrX-p11.4
GATD3B,chr21-p12
SIK1B,chr21-p12
COMMD8,chr4-p12
GABRB1,chr4-p12
CORIN,chr4-p12
COX7B2,chr4-p12
U2AF1L5,chr21-p12
CRYAA2,chr21-p12
CBSL,chr21-p12
ATP10D,chr4-p12
API5,chr11-p12
TVP23C-CDRT4,chr17-p12
TRAF6,chr11-p12
TTC17,chr11-p12
ZSWIM7,chr17-p12
LRRC4C,chr11-p12
GABRA4,chr4-p12
TTC19,chr17-p12
GABRG1,chr4-p12
GTF2E2,chr8-p12
MAK16,chr8-p12
FUT10,chr8-p12
UNC5D,chr8-p12
SMIM18,chr8-p12
DUSP4,chr8-p12
MBOAT4,chr8-p12
LEPROTL1,chr8-p12
DUSP26,chr8-p12
KIF13B,chr8-p12
DCTN6,chr8-p12
CDRT4,chr17-p12
NRG1,chr8-p12
MRPS30,chr5-p12
SPATA31A1,chr9-p12
SARAF,chr8-p12
RNF122,chr8-p12
FGF10,chr5-p12
C5orf34,chr5-p12
CCDC152,chr5-p12
NFXL1,chr4-p12
NIPAL1,chr4-p12
TXK,chr4-p12
ZNF85,chr19-p12
ZNF66,chr19-p12
ZNF486,chr19-p12
ZNF682,chr19-p12
ZNF714,chr19-p12
ZNF93,chr19-p12
ZNF257,chr19-p12
ZNF729,chr19-p12
ZNF492,chr19-p12
EVA1A,chr2-p12
SELENOP,chr5-p12
ZNF90,chr19-p12
ZNF430,chr19-p12
ZNF676,chr19-p12
ZNF91,chr19-p12
WRN,chr8-p12
ZNF675,chr19-p12
POLE4,chr2-p12
ZNF431,chr19-p12
REG3G,chr2-p12
ZNF98,chr19-p12
ZNF708,chr19-p12
REG1A,chr2-p12
ZNF730,chr19-p12
ZNF728,chr19-p12
ZNF723,chr19-p12
HCN1,chr5-p12
MRPL19,chr2-p12
REG1B,chr2-p12
HK2,chr2-p12
TACR1,chr2-p12
ZNF737,chr19-p12
NIM1K,chr5-p12
RBPMS,chr8-p12
GCFC2,chr2-p12
NNT,chr5-p12
HMGCS1,chr5-p12
CCL28,chr5-p12
GABRA2,chr4-p12
PAIP1,chr5-p12
CNGA1,chr4-p12
RAG1,chr11-p12
RAG2,chr11-p12
TTI2,chr8-p12
CDRT1,chr17-p12
GUF1,chr4-p12
GNPDA2,chr4-p12
ZNF724,chr19-p12
ZNF43,chr19-p12
CNTNAP3,chr9-p12
TMEM238L,chr17-p12
PIRT,chr17-p12
SHISA6,chr17-p12
DNAH9,chr17-p12
ZNF18,chr17-p12
MAP2K4,chr17-p12
MAN1A2,chr1-p12
ELAC2,chr17-p12
HS3ST3A1,chr17-p12
COX10,chr17-p12
CDRT15,chr17-p12
HS3ST3B1,chr17-p12
HSD3B2,chr1-p12
GSR,chr8-p12
UBXN8,chr8-p12
PPP2CB,chr8-p12
TEX15,chr8-p12
TEKT3,chr17-p12
PMP22,chr17-p12
SEC22B,chr1-p12
YIPF7,chr4-p12
TENT5C,chr1-p12
IFTAP,chr11-p12
GDAP2,chr1-p12
ZNF254,chr19-p12
WDR3,chr1-p12
SPAG17,chr1-p12
MYOCD,chr17-p12
ZNF493,chr19-p12
TBX15,chr1-p12
TMEM267,chr5-p12
PURG,chr8-p12
TVP23C,chr17-p12
ANXA2R,chr5-p12
ZNF131,chr5-p12
ZNF738,chr19-p12
ADORA2B,chr17-p12
REG3A,chr2-p12
LRRTM1,chr2-p12
CTNNA2,chr2-p12
TRIM16,chr17-p12
ZNF681,chr19-p12
ZNF286A,chr17-p12
ZNF286A-TBC1D26,chr17-p12
TBC1D26,chr17-p12
ZNF429,chr19-p12
ZNF208,chr19-p12
HSD3B1,chr1-p12
ZNF697,chr1-p12
HMGCS2,chr1-p12
REG4,chr1-p12
ADAM30,chr1-p12
PHGDH,chr1-p12
ZNF100,chr19-p12
ZNF726,chr19-p12
ZNF626,chr19-p12
ZNF99,chr19-p12
WARS2,chr1-p12
ARHGAP44,chr17-p12
RPSAP58,chr19-p12
LRRTM4,chr2-p12
HAO2,chr1-p12
NOTCH2,chr1-p12
VTCN1,chr1-p12
PCSK2,chr20-p12.1
ISM1,chr20-p12.1
FLRT3,chr20-p12.1
SNRPB2,chr20-p12.1
BFSP1,chr20-p12.1
DSTN,chr20-p12.1
SPTLC3,chr20-p12.1
TASP1,chr20-p12.1
OTOR,chr20-p12.1
GAD2,chr10-p12.1
MKX,chr10-p12.1
ODAD2,chr10-p12.1
MYO3A,chr10-p12.1
PRTFDC1,chr10-p12.1
ENKUR,chr10-p12.1
KIF16B,chr20-p12.1
SEL1L2,chr20-p12.1
PDSS1,chr10-p12.1
ELOVL5,chr6-p12.1
